,Coefficient,Std_Error,Z_Value,P_Value,CI_Lower,CI_Upper
C(season_cat)[T.19],-1.7993686206042676,2.3426389774088308,-0.7680947162394314,0.44243091578290006,-6.390856645105317,2.7921194038967814
C(season_cat)[T.20],-2.1122710255357555,2.3393258246325,-0.9029400707221218,0.3665577022535077,-6.697265389919918,2.4727233388484073
C(season_cat)[T.21],-2.521181697072904,2.3224807510799947,-1.0855554759282762,0.2776757072902989,-7.073160323977229,2.03079692983142
C(season_cat)[T.22],-1.6260372615605068,2.3394365243204835,-0.6950550889739606,0.4870207785313234,-6.211248593346217,2.9591740702252034
C(season_cat)[T.23],-1.7480407975044512,2.317361026938324,-0.7543238956659017,0.45065475717811065,-6.289984949480321,2.793903354471418
C(season_cat)[T.24],-1.6480219587064795,2.346818430478257,-0.702236669570824,0.4825315807736147,-6.24770156069868,2.9516576432857207
C(season_cat)[T.25],-2.2322364231473735,2.318266945717564,-0.9628901569212678,0.33560264972874654,-6.775956143303472,2.311483297008725
C(season_cat)[T.26],-0.8272746523375589,2.52247194819007,-0.3279618839492534,0.7429404823001282,-5.771228822802682,4.1166795181275635
C(season_cat)[T.27],-2.3358307189826317,2.3273466019610662,-1.0036454033165565,0.3155495616330257,-6.897346238367998,2.225684800402735
C(season_cat)[T.28],-1.7124916484723978,2.3370118978283885,-0.7327697604208558,0.46369886779189906,-6.29295079965764,2.867967502712845
C(season_cat)[T.29],-1.9048790706177219,2.2642147818408462,-0.8412978688660543,0.4001810842454693,-6.342658496288996,2.5329003550535525
C(season_cat)[T.2],-1.4728797757141954,2.4360338580592273,-0.6046220461351179,0.545430154791984,-6.247418402630439,3.3016588512020486
C(season_cat)[T.30],-2.468430322485947,2.2780590567357075,-1.0835673092790787,0.2785566919209963,-6.933344028343221,1.9964833833713271
C(season_cat)[T.31],-2.393148335006944,2.267849095280649,-1.0552502545195976,0.2913108856678258,-6.838050884128762,2.051754214114874
C(season_cat)[T.32],-1.8742692376376462,2.2959836301899212,-0.8163251745321062,0.41431417972499296,-6.374314461903422,2.6257759866281294
C(season_cat)[T.33],-1.4940352735009237,2.3187013479467264,-0.6443414003377075,0.5193540748426926,-6.038606406380984,3.0505358593791367
C(season_cat)[T.34],-2.059858393025593,2.298840928818218,-0.8960421607268493,0.3702302462232866,-6.565503819695907,2.4457870336447205
C(season_cat)[T.3],-0.8577999689480136,2.2495468096075326,-0.38132123558596664,0.7029648981748693,-5.2668306973157595,3.5512307594197328
C(season_cat)[T.4],-0.5205430334893943,2.2959846566036934,-0.2267188641667149,0.8206423575612252,-5.020590269489197,3.979504202510408
C(season_cat)[T.5],-1.8666826455263128,2.3540218524652143,-0.7929759205809653,0.42779185212588544,-6.480480695178393,2.747115404125768
C(season_cat)[T.6],-1.9493196596917124,2.3528310592686803,-0.8284996289948716,0.4073876049583953,-6.56078379756555,2.662144478182126
C(season_cat)[T.7],-1.5878190863623152,2.3362572116690616,-0.6796422407736306,0.4967310165264679,-6.166799079855646,2.9911609071310155
C(season_cat)[T.8],-7.1593766887233175,2.2180612508607433,-3.2277632937075302,0.001247621658887697,-11.506696855914235,-2.8120565215323987
C(season_cat)[T.9],-2.2088812241840547,2.25191323330058,-0.9808909115679142,0.32664653977773206,-6.622550057762336,2.204787609394226
C(week_cat)[T.10],0.41258145664413237,0.3875694039262868,1.0645356740353082,0.28708610258321565,-0.34704061656104634,1.1722035298493112
C(week_cat)[T.11],0.2825817919179421,0.6185120308357693,0.4568735575540886,0.6477619309845164,-0.9296795125248931,1.4948430963607773
C(week_cat)[T.2],0.017385487130273027,0.2416237743773438,0.07195271729810045,0.942639536395084,-0.4561884084579527,0.4909593827184988
C(week_cat)[T.3],0.04595751601908165,0.2517752660108748,0.1825338793092433,0.8551637690984228,-0.44751293756022453,0.5394279695983878
C(week_cat)[T.4],0.06592021956452179,0.2604817813868229,0.2530703652806658,0.8002138387015111,-0.4446146905824869,0.5764551297115305
C(week_cat)[T.5],0.09356160272946488,0.27161643285082515,0.3444622320802291,0.7304986944970999,-0.43879682326739444,0.6259200287263242
C(week_cat)[T.6],0.1290252156127574,0.2807941209914554,0.45950112900221174,0.6458743414903596,-0.4213211486010776,0.6793715798265924
C(week_cat)[T.7],0.16554385552119252,0.2941056835488077,0.5628720041165748,0.5735220450533156,-0.4108926918830048,0.7419804029253899
C(week_cat)[T.8],0.2041207255501336,0.3130509199111183,0.652036817550601,0.5143774215246844,-0.40944780280279114,0.8176892539030584
C(week_cat)[T.9],0.3030096228298829,0.3404889922236148,0.8899248720231242,0.3735062277510609,-0.36433653906074054,0.9703557847205064
Group Var,,,2.7972895207614023e-09,0.9999999977680859,-0.677644983895468,0.6776449858297579
Intercept,-4.668475463272602,2.0588074921373063,-2.2675628882747683,0.0233558617942274,-8.703663998962952,-0.6332869275822519
age_z,-1.1503222715325563,0.22923588150640067,-5.01807249359624,5.219248360211746e-07,-1.599616343249393,-0.7010281998157195
is_us,-0.6358791993538253,0.7051390229957529,-0.9017784842658683,0.36717455139361743,-2.017926288519262,0.7461678898116113
partner Var,,,4.829089916525961,1.3715846771782798e-06,0.9413055093077177,2.2273591301156883
