,Coefficient,Std_Error,Z_Value,P_Value,CI_Lower,CI_Upper
C(season_cat)[T.5],1.9721764122406187,3.3077991615128512,0.5962201197664693,0.5510281863984865,-4.510990812416359,8.455343636897595
C(season_cat)[T.6],1.2540038601660453,3.4122449597066162,0.3675011246185163,0.7132452531154863,-5.433873367287251,7.941881087619341
C(season_cat)[T.7],0.5576147629252456,3.396319284261237,0.16418207955573214,0.8695878081123117,-6.099048714225632,7.214278240076124
C(season_cat)[T.8],-0.20376281077485708,4.0772899509057385,-0.04997506020625115,0.9601422625537205,-8.19510426907719,7.787578647527475
C(season_cat)[T.9],1.4670826057598352,3.353287375423139,0.43750577910869015,0.661744585859728,-5.10523987988236,8.039405091402031
C(week_cat)[T.10],8.400509834681666,0.39458357566708996,21.289557783746105,1.418601679338162e-100,7.627140237483134,9.173879431880197
C(week_cat)[T.11],8.539788118778018,0.6226109244589342,13.716091034219046,8.133365136904372e-43,7.319493130457319,9.760083107098717
C(week_cat)[T.2],1.7686559151068788,0.24197959785902132,7.309111721630796,2.6891411800703047e-13,1.2943846183097114,2.242927211904046
C(week_cat)[T.3],3.5932678829388736,0.25104245163544137,14.313387475027302,1.805024631930468e-46,3.10123371914277,4.085302046734977
C(week_cat)[T.4],4.936945532539654,0.2602166119335937,18.97244567076119,2.881819668073107e-80,4.426930344970774,5.4469607201085335
C(week_cat)[T.5],5.920734730041721,0.2713660169343843,21.818261538154726,1.556653109842877e-105,5.388867110222241,6.4526023498612
C(week_cat)[T.6],8.119339295622618,0.28054459953727157,28.941349464629166,3.605821595613289e-184,7.569481984472353,8.669196606772882
C(week_cat)[T.7],8.164393207833374,0.2958646395867266,27.59502865647502,1.27656302200119e-167,7.584509169944466,8.744277245722282
C(week_cat)[T.8],7.945779257533955,0.31494706987787363,25.228935327498277,1.9289508488688027e-140,7.328494343536903,8.563064171531007
C(week_cat)[T.9],9.203567392119597,0.34489362984552624,26.68523450619185,6.984463114186639e-157,8.527588299125076,9.879546485114117
Group Var,,,0.5067221867637116,0.6123497608741988,-0.9063433152710558,1.538398169976664
Intercept,18.122418377604202,3.3422434963489196,5.422231622980553,5.885954511817872e-08,11.571741497197092,24.673095258011312
age_z,-1.5506645839437048,0.12608079311750806,-12.298975487078957,9.173022633756141e-35,-1.797778397596266,-1.3035507702911435
partner Var,,,9.647073247482099e-08,0.999999923027492,-1.2051579305440512,1.205158049181409
