,Coefficient,Std_Error,Z_Value,P_Value,CI_Lower,CI_Upper
C(week_cat)[T.2],-0.20395040428512523,0.1008591411442406,-2.022131082729049,0.04316281166407192,-0.40163068843947874,-0.006270120130771717
C(week_cat)[T.3],-0.08783537524977779,0.10526735659735836,-0.8344027824859618,0.4040540498203592,-0.29415560292833504,0.11848485242877944
C(week_cat)[T.4],-0.16070516118610664,0.10928606756037901,-1.470499989372564,0.14142638855756196,-0.37490191761646063,0.05349159524424735
C(week_cat)[T.5],-0.09487167542797598,0.11438006603347893,-0.8294423907764412,0.4068541227073791,-0.31905248540290787,0.1293091345469559
C(week_cat)[T.6],-0.11149139948851257,0.11862054942368634,-0.9398995370548316,0.3472690948336208,-0.3439834041852913,0.12100060520826612
C(week_cat)[T.7],-0.27982408251476054,0.12450924187997241,-2.2474161619625996,0.02461344306843023,-0.5238577123418926,-0.035790452687628455
C(week_cat)[T.8],-0.14525568687417573,0.1328080395695627,-1.0937266098118492,0.27407490005342916,-0.405554661287889,0.11504328753953752
C(week_cat)[T.9],-0.14903747884879123,0.1447865594649133,-1.029359903292046,0.303310583645943,-0.4328139208454882,0.13473896314790576
Group Var,,,0.5088130939441516,0.6108832404253903,-0.2665925134934508,0.4535417308243225
Intercept,-1.0293683857974105,0.5018626351038187,-2.0510958852006755,0.040257609965554345,-2.0130010757872623,-0.045735695807558874
age_z,-0.5020428180063801,0.054046840112866305,-9.289031827910039,1.5569810177813443e-20,-0.6079726781057927,-0.3961129579069674
is_us,-0.06945440522767918,0.1629971004200378,-0.42610822553712685,0.6700289867333751,-0.38892285163541174,0.25001404118005344
partner Var,,,1.3863934011247674,0.16562681033045057,-0.10643559831761173,0.6209724850374913
